Start pack to DataLoader... Done!
Start training...
Epoch: 117, Avg_Epoch_Time: 15.6881, LossD: 1.1261, LossG: 1.1290
Epoch: 118, Avg_Epoch_Time: 17.0811, LossD: 0.8185, LossG: 2.0485
Epoch: 119, Avg_Epoch_Time: 15.6790, LossD: 0.7347, LossG: 1.7145
Epoch: 120, Avg_Epoch_Time: 17.0332, LossD: 1.3386, LossG: 1.0555
Epoch: 121, Avg_Epoch_Time: 15.9039, LossD: 1.0706, LossG: 1.6097
Epoch: 122, Avg_Epoch_Time: 17.0593, LossD: 0.5136, LossG: 1.9254
Epoch: 123, Avg_Epoch_Time: 15.7010, LossD: 0.6702, LossG: 1.7123
Epoch: 124, Avg_Epoch_Time: 17.0560, LossD: 0.8023, LossG: 2.1450
Epoch: 125, Avg_Epoch_Time: 15.7087, LossD: 1.2972, LossG: 0.8168
Epoch: 126, Avg_Epoch_Time: 15.6885, LossD: 0.9888, LossG: 0.7226
Epoch: 127, Avg_Epoch_Time: 17.0790, LossD: 1.0141, LossG: 0.9527
Epoch: 128, Avg_Epoch_Time: 15.6978, LossD: 0.9593, LossG: 1.7428
Epoch: 129, Avg_Epoch_Time: 17.0792, LossD: 1.1368, LossG: 0.9007
Epoch: 130, Avg_Epoch_Time: 15.6953, LossD: 0.7367, LossG: 1.4159
Epoch: 131, Avg_Epoch_Time: 17.1967, LossD: 1.2461, LossG: 0.4255
Epoch: 132, Avg_Epoch_Time: 15.7180, LossD: 1.5115, LossG: 0.7483
Epoch: 133, Avg_Epoch_Time: 17.0459, LossD: 0.5280, LossG: 1.9185
Epoch: 134, Avg_Epoch_Time: 15.7149, LossD: 0.9514, LossG: 0.8189
Epoch: 135, Avg_Epoch_Time: 17.0637, LossD: 1.4654, LossG: 0.3415
Epoch: 136, Avg_Epoch_Time: 15.6797, LossD: 1.2506, LossG: 1.4430
Epoch: 137, Avg_Epoch_Time: 17.0494, LossD: 1.2847, LossG: 1.3537
Epoch: 138, Avg_Epoch_Time: 15.7366, LossD: 0.4323, LossG: 2.0491
Epoch: 139, Avg_Epoch_Time: 17.0695, LossD: 0.5429, LossG: 1.7171
Epoch: 140, Avg_Epoch_Time: 15.7272, LossD: 1.1529, LossG: 1.4729
Epoch: 141, Avg_Epoch_Time: 17.2463, LossD: 1.2323, LossG: 1.4621
Epoch: 142, Avg_Epoch_Time: 15.7563, LossD: 1.2015, LossG: 1.4321
Epoch: 143, Avg_Epoch_Time: 17.0963, LossD: 1.0676, LossG: 1.4275
Epoch: 144, Avg_Epoch_Time: 15.7798, LossD: 1.3127, LossG: 0.8686
Epoch: 145, Avg_Epoch_Time: 17.0712, LossD: 1.1766, LossG: 0.8530
Epoch: 146, Avg_Epoch_Time: 15.7192, LossD: 1.0756, LossG: 1.8942
Epoch: 147, Avg_Epoch_Time: 17.1193, LossD: 1.0097, LossG: 1.5252
Epoch: 148, Avg_Epoch_Time: 15.7482, LossD: 1.1193, LossG: 1.2106
Epoch: 149, Avg_Epoch_Time: 17.0593, LossD: 0.6400, LossG: 2.2178
Epoch: 150, Avg_Epoch_Time: 15.7069, LossD: 1.1526, LossG: 1.2892
Epoch: 151, Avg_Epoch_Time: 17.2277, LossD: 1.3255, LossG: 1.2200
Epoch: 152, Avg_Epoch_Time: 15.7232, LossD: 1.2307, LossG: 1.2362
Epoch: 153, Avg_Epoch_Time: 17.0568, LossD: 0.8750, LossG: 0.8063
Epoch: 154, Avg_Epoch_Time: 15.7173, LossD: 1.2043, LossG: 0.9183
Epoch: 155, Avg_Epoch_Time: 17.0595, LossD: 1.0299, LossG: 0.8093
Epoch: 156, Avg_Epoch_Time: 15.7930, LossD: 1.2805, LossG: 1.2093
Epoch: 157, Avg_Epoch_Time: 17.0715, LossD: 1.1695, LossG: 0.9059
Epoch: 158, Avg_Epoch_Time: 15.7321, LossD: 0.8632, LossG: 1.9608
Epoch: 159, Avg_Epoch_Time: 17.1110, LossD: 1.2578, LossG: 1.0810
Epoch: 160, Avg_Epoch_Time: 15.6966, LossD: 1.0676, LossG: 1.4459
Epoch: 161, Avg_Epoch_Time: 17.2630, LossD: 0.9496, LossG: 1.2662
Epoch: 162, Avg_Epoch_Time: 15.8076, LossD: 1.2159, LossG: 1.6358
Epoch: 163, Avg_Epoch_Time: 17.1763, LossD: 1.3905, LossG: 0.9684
Epoch: 164, Avg_Epoch_Time: 15.8039, LossD: 0.4934, LossG: 2.1002
Epoch: 165, Avg_Epoch_Time: 17.1337, LossD: 1.0389, LossG: 1.8342
Epoch: 166, Avg_Epoch_Time: 15.8523, LossD: 1.2162, LossG: 1.7037
Epoch: 167, Avg_Epoch_Time: 17.1089, LossD: 1.2688, LossG: 0.9133
Epoch: 168, Avg_Epoch_Time: 15.8248, LossD: 1.0178, LossG: 1.3875
Epoch: 169, Avg_Epoch_Time: 17.1279, LossD: 0.9509, LossG: 1.0300
Epoch: 170, Avg_Epoch_Time: 15.8590, LossD: 1.2548, LossG: 1.1794
Epoch: 171, Avg_Epoch_Time: 15.9346, LossD: 0.9970, LossG: 1.6558
Epoch: 172, Avg_Epoch_Time: 17.1374, LossD: 1.1303, LossG: 0.9468
Epoch: 173, Avg_Epoch_Time: 15.5930, LossD: 1.2281, LossG: 1.1703
Epoch: 174, Avg_Epoch_Time: 17.0755, LossD: 1.0990, LossG: 1.7081
Epoch: 175, Avg_Epoch_Time: 15.7199, LossD: 1.2591, LossG: 0.3998
Epoch: 176, Avg_Epoch_Time: 17.0778, LossD: 0.5376, LossG: 1.9614
